Zone,Code zone,Année,population,Evolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales,Cluster_x,Cluster_y
Arménie,1,2019,2957731.0,2.076,1103030.0,34415.850000000006,56.061,5,5
Afghanistan,2,2019,38041754.0,17.887,829645.0,20918.15,18.042,1,1
Albanie,3,2019,2880917.0,-0.788,1218370.0,42347.299999999996,53.844,3,3
Algérie,4,2019,43053054.0,12.881,1274945.0,33156.6,26.519,4,4
Angola,7,2019,31825295.0,22.331,892425.0,19012.850000000002,29.833,1,1
Antigua-et-Barbuda,8,2019,97118.0,6.121,907025.0,29492.0,63.515,5,5
Argentine,9,2019,44780677.0,6.125,1205960.0,39036.75,63.478,3,3
Australie,10,2019,25203198.0,8.378,1247205.0,39398.1,67.547,3,3
Autriche,11,2019,8955102.0,4.662,1347215.0,39766.75,59.192,3,3
Bahamas,12,2019,389482.0,6.077,958490.0,27776.499999999996,63.64,5,5
Barbade,14,2019,287025.0,0.96,1090985.0,32864.600000000006,56.386,5,5
Bangladesh,16,2019,163046161.0,6.733,958490.0,22385.45,19.925,2,2
Bolivie (État plurinational de),19,2019,11513100.0,9.208,899360.0,27145.050000000003,47.882,2,2
Botswana,20,2019,2303697.0,11.692,938050.0,26345.7,37.531,2,2
Brésil,21,2019,211049527.0,4.981,1184790.0,34240.65,58.48,3,3
Belize,23,2019,390353.0,12.912,1001560.0,26842.100000000002,44.86,2,2
Îles Salomon,25,2019,669823.0,17.238,880015.0,19290.25,29.934,1,1
Bulgarie,27,2019,7000119.0,-3.978,1041710.0,30017.6,50.365,5,5
Myanmar,28,2019,54045420.0,4.229,1039155.0,35613.049999999996,47.392,5,5
Burundi,29,2019,11530580.0,20.862,666125.0,15822.75,7.082,1,1
Cameroun,32,2019,25876380.0,17.208,1011050.0,26290.95,15.285,1,1
Canada,33,2019,37411047.0,5.991,1291735.0,39620.75,56.306,3,3
Cabo Verde,35,2019,549935.0,7.462,942795.0,26243.500000000004,36.134,2,2
République centrafricaine,37,2019,4745185.0,6.683,682550.0,18578.5,41.297,2,2
Sri Lanka,38,2019,21323733.0,3.197,992435.0,24611.95,28.118,2,2
Tchad,39,2019,15946876.0,20.623,829280.0,28491.9,34.678,2,2
Chili,40,2019,18952038.0,7.857,1123470.0,34262.55,52.786,5,5
"Chine, continentale",41,2019,1433783686.0,3.01,1221655.0,38434.5,39.174,5,5
Colombie,44,2019,50339443.0,8.267,1092080.0,26542.8,52.365,5,5
Comores,45,2019,850886.0,14.751,834025.0,21013.05,32.361,1,1
Congo,46,2019,5380508.0,16.392,796795.0,19385.15,48.032,2,2
Costa Rica,48,2019,5047561.0,6.441,1093540.0,29506.600000000002,57.249,5,5
Cuba,49,2019,11333483.0,0.45,1231875.0,30145.350000000002,41.421,5,5
Chypre,50,2019,1198575.0,4.783,1111790.0,33718.7,50.227,5,5
Azerbaïdjan,52,2019,10047718.0,7.056,1151210.0,35010.8,36.134,4,4
Bénin,53,2019,11801151.0,17.957,1012875.0,22965.8,20.518,1,1
Danemark,54,2019,5771876.0,2.372,1248665.0,42113.7,66.493,3,3
Dominique,55,2019,71808.0,1.115,1069085.0,29736.55,55.309,5,5
République dominicaine,56,2019,10738958.0,6.874,1084050.0,25473.350000000002,50.193,5,5
Bélarus,57,2019,9452411.0,0.307,1202675.0,33452.25,54.315,5,5
Équateur,58,2019,17373662.0,10.608,935495.0,23392.850000000002,50.991,2,2
Égypte,59,2019,100388073.0,13.555,1207055.0,34864.799999999996,24.791,4,4
El Salvador,60,2019,6453553.0,2.992,999735.0,28386.05,35.284,5,5
Estonie,63,2019,1325648.0,0.499,1155955.0,37357.75,63.429,3,3
Fidji,66,2019,889953.0,2.812,1043535.0,28433.500000000004,46.521,5,5
Finlande,67,2019,5532156.0,1.713,1211800.0,42876.55,62.152,3,3
France,68,2019,65129728.0,1.935,1289180.0,40051.450000000004,58.808,3,3
Polynésie française,70,2019,279287.0,3.314,1066165.0,34886.7,64.606,5,5
Djibouti,72,2019,973560.0,10.219,1020175.0,24064.45,19.733,2,2
Géorgie,73,2019,3996765.0,-1.283,1043900.0,28875.15,42.296,5,5
Gabon,74,2019,2172579.0,19.565,961045.0,28809.45,47.624,2,2
Gambie,75,2019,2347706.0,19.554,906295.0,22929.3,29.37,1,1
Allemagne,79,2019,83517045.0,2.886,1299035.0,38047.6,60.15,3,3
Bosnie-Herzégovine,80,2019,3301000.0,-6.82,1211800.0,35846.649999999994,36.116,5,5
Ghana,81,2019,30417856.0,14.32,1136610.0,22542.399999999998,23.656,1,1
Kiribati,83,2019,117606.0,9.005,1120915.0,25677.749999999996,50.007,5,5
Grèce,84,2019,10473455.0,-2.486,1239540.0,39182.75,58.23,3,3
Grenade,86,2019,112003.0,3.543,904835.0,26466.15,58.64,5,5
Guatemala,89,2019,17581472.0,12.732,932940.0,25436.85,31.31,2,2
Guinée,90,2019,12771246.0,17.245,1039885.0,20983.850000000002,20.612,1,1
Guyana,91,2019,782766.0,3.093,1073100.0,31809.750000000004,43.592,5,5
Haïti,93,2019,11263077.0,8.292,788035.0,17392.25,22.959,1,1
Honduras,95,2019,9746117.0,10.77,977470.0,22732.2,34.2,2,2
Chine - RAS de Hong-Kong,96,2019,7436154.0,4.9,1181140.0,47249.24999999999,74.662,3,3
Hongrie,97,2019,9684679.0,-1.518,1237715.0,32660.2,56.169,5,5
Croatie,98,2019,4130304.0,-3.421,1141720.0,34131.15,61.095,5,5
Islande,99,2019,339031.0,3.62,1327505.0,52538.1,72.69,3,3
Inde,100,2019,1366417754.0,6.681,942065.0,23677.550000000003,23.801,2,2
Indonésie,101,2019,270625568.0,7.474,1050835.0,24652.100000000002,36.334,2,2
Iran (République islamique d'),102,2019,82913906.0,8.41,1096825.0,30338.800000000003,30.101,4,4
Iraq,103,2019,39309783.0,18.556,954475.0,23641.05,19.268,1,1
Irlande,104,2019,4882495.0,5.787,1391015.0,40533.25,57.046,3,3
Israël,105,2019,8519377.0,10.143,1298670.0,46026.5,60.563,3,3
Italie,106,2019,60550075.0,0.637,1279325.0,38157.100000000006,53.185,3,3
Côte d'Ivoire,107,2019,25716544.0,16.43,1036965.0,21633.550000000003,24.161,1,1
Kazakhstan,108,2019,18551427.0,8.959,1215815.0,37996.5,54.64,3,3
Jamaïque,109,2019,2948279.0,3.133,1011050.0,28137.850000000002,49.656,5,5
Japon,110,2019,126860301.0,-1.133,982215.0,32127.3,55.862,5,5
Jordanie,112,2019,10101694.0,18.579,923085.0,23257.8,39.47,2,2
Kirghizistan,113,2019,6415850.0,11.944,995720.0,30970.249999999996,41.131,4,4
Kenya,114,2019,52573973.0,15.496,804825.0,22334.35,24.775,1,1
Cambodge,115,2019,16486542.000000002,9.718,985500.0,23918.45,28.567,2,2
République populaire démocratique de Corée,116,2019,25666161.0,2.955,765405.0,20082.300000000003,18.557,2,2
République de Corée,117,2019,51225308.0,1.747,1260345.0,36135.0,54.404,3,3
Koweït,118,2019,4207083.0,19.303,1258885.0,36872.299999999996,48.911,3,3
Lettonie,119,2019,1906743.0,-6.759,1187345.0,34499.799999999996,58.411,5,5
République démocratique populaire lao,120,2019,7169455.0,9.603,1008130.0,27411.499999999996,24.394,2,2
Liban,121,2019,6855713.0,15.943,1047550.0,26064.649999999998,35.415,2,2
Lesotho,122,2019,2125268.0,4.769,799350.0,22454.800000000003,29.308,2,2
Libéria,123,2019,4937374.0,16.219,784385.0,15370.15,25.315,1,1
Libye,124,2019,6777452.0,7.232,1146465.0,30353.399999999998,37.41,4,4
Lituanie,126,2019,2759627.0,-8.286,1244650.0,42354.600000000006,58.497,3,3
Chine - RAS de Macao,128,2019,640445.0,10.924,1208880.0,39168.15,64.458,3,3
Madagascar,129,2019,26969307.0,17.456,697880.0,15570.9,20.769,1,1
Malawi,130,2019,18628747.0,17.611,949000.0,25553.65,20.868,1,1
Malaisie,131,2019,31949777.0,8.419,1069815.0,28298.45,55.785,5,5
Maldives,132,2019,530953.0,27.758,807380.0,29203.65,61.43,2,2
Mali,133,2019,19658031.0,19.503,1054120.0,29353.3,22.308,1,1
Malte,134,2019,440372.0,3.337,1233335.0,38456.4,57.783,3,3
Mauritanie,136,2019,4525696.0,18.551,1049375.0,30265.8,37.687,2,2
Maurice,137,2019,1269668.0,1.132,1107045.0,31806.1,47.831,5,5
Mexique,138,2019,127575529.0,7.362,1154495.0,33452.25,48.98,5,5
Mongolie,141,2019,3225167.0,11.915,1051200.0,37865.1,71.101,3,3
Maroc,143,2019,36471769.0,8.174,1228225.0,36189.75,28.149,4,4
Mozambique,144,2019,30366036.0,18.799,777450.0,17264.5,15.391,1,1
République de Moldova,146,2019,4043263.0,-0.769,980755.0,25491.600000000002,39.476,5,5
Namibie,147,2019,2494530.0,11.687,903010.0,23936.7,34.995,2,2
Népal,149,2019,28608710.0,6.286,1052295.0,27338.500000000004,18.091,2,2
Pays-Bas,150,2019,17097130.0,1.506,1223845.0,39460.15,64.351,3,3
Nouvelle-Calédonie,153,2019,282750.0,7.004,1041710.0,32222.2,57.929,5,5
Macédoine du Nord,154,2019,2083458.9999999998,0.356,1129675.0,30758.55,43.681,5,5
Vanuatu,155,2019,299882.0,16.852,950825.0,23538.85,41.03,2,2
Nouvelle-Zélande,156,2019,4783063.0,5.855,1178220.0,35204.25,57.678,3,3
Nicaragua,157,2019,6545502.0,7.968,956300.0,24042.550000000003,28.845,2,2
Niger,158,2019,23310715.0,25.975,957395.0,30959.3,12.273,1,1
Nigéria,159,2019,200963599.0,16.999,936225.0,21217.45,12.059,1,1
Norvège,162,2019,5378857.0,5.894,1258885.0,42442.2,55.392,3,3
Pakistan,165,2019,216565318.0,13.23,906295.0,24104.600000000002,43.64,2,2
Panama,166,2019,4246439.0,10.716,1086605.0,32072.550000000003,55.15,5,5
Tchéquie,167,2019,10689209.0,0.97,1199390.0,31671.05,60.032,5,5
Papouasie-Nouvelle-Guinée,168,2019,8776109.0,12.682,819060.0,23473.15,55.839,2,2
Paraguay,169,2019,7044636.0,8.208,1011050.0,25568.25,38.116,2,2
Pérou,170,2019,32510453.0,9.191,1016890.0,32320.75,48.492,4,4
Philippines,171,2019,108116615.0,9.351,1025285.0,23819.9,40.224,2,2
Pologne,173,2019,37887768.0,-0.708,1280420.0,38310.399999999994,54.211,3,3
Portugal,174,2019,10226187.0,-2.357,1262170.0,42975.1,63.912,3,3
Guinée-Bissau,175,2019,1920922.0,16.543,813950.0,15797.2,19.409,1,1
Timor-Leste,176,2019,1293119.0,12.124,814680.0,17585.7,21.731,1,1
Zimbabwe,181,2019,14645468.0,9.701,623055.0,13946.65,27.375,2,2
Roumanie,183,2019,19364557.0,-3.816,1309620.0,39328.75,50.645,3,3
Rwanda,184,2019,12626950.0,16.791,808110.0,21472.95,14.448,1,1
Fédération de Russie,185,2019,145872256.0,1.072,1227495.0,38262.95,53.296,3,3
Saint-Kitts-et-Nevis,188,2019,52823.0,4.951,931845.0,26024.5,61.725,5,5
Sainte-Lucie,189,2019,182790.0,2.973,961045.0,30769.5,58.197,5,5
Saint-Vincent-et-les Grenadines,191,2019,110589.0,1.811,1076385.0,33382.899999999994,56.932,5,5
Sao Tomé-et-Principe,193,2019,215056.0,11.958,876730.0,19914.4,32.533,1,1
Arabie saoudite,194,2019,34268528.0,14.031,1205230.0,32685.75,39.866,4,4
Sénégal,195,2019,16296364.0,18.24,949365.0,23502.35,22.768,1,1
Seychelles,196,2019,97739.0,4.651,1139895.0,34967.0,52.902,5,5
Sierra Leone,197,2019,7813215.0,13.829,851180.0,18370.45,22.074,1,1
Slovénie,198,2019,2078654.0,0.753,1149385.0,34799.1,54.521,5,5
Slovaquie,199,2019,5457013.0,0.651,1063610.0,25940.55,53.581,5,5
Afrique du Sud,202,2019,58558270.0,9.073,1057770.0,29116.05,44.039,4,4
Espagne,203,2019,46736776.0,-0.413,1222020.0,39617.100000000006,62.945,3,3
Suriname,207,2019,581372.0,6.227,1006670.0,24834.600000000002,47.825,5,5
Tadjikistan,208,2019,9321018.0,15.649,906660.0,26148.6,32.44,2,2
Eswatini,209,2019,1148130.0,5.639,928560.0,21910.95,30.318,2,2
Suède,210,2019,10036379.0,4.35,1162160.0,39456.5,64.154,3,3
Suisse,211,2019,8591365.0,5.95,1233335.0,35463.4,63.102,3,3
République arabe syrienne,212,2019,17070135.0,-12.812,1007400.0,27042.850000000002,29.14,5,5
Turkménistan,213,2019,5942089.0,10.728,1050835.0,32839.05,40.669,4,4
"Chine, Taiwan Province de",214,2019,23773876.0,1.504,1079670.0,31375.399999999998,52.862,5,5
République-Unie de Tanzanie,215,2019,58005463.0,19.641,866510.0,21929.2,18.975,1,1
Thaïlande,216,2019,69625582.0,2.173,1024920.0,22202.95,43.087,5,5
Togo,217,2019,8082366.0,16.214,899360.0,20732.0,17.06,1,1
Trinité-et-Tobago,220,2019,1394973.0,3.049,1080035.0,31043.25,51.734,5,5
Oman,221,2019,4974986.0,32.145,1077115.0,30904.55,48.352,2,2
Tunisie,222,2019,11694719.0,6.772,1277135.0,36777.4,28.216,4,4
Turquie,223,2019,83429615.0,9.884,1362910.0,40540.549999999996,35.77,4,4
Ouganda,226,2019,44269594.0,24.024,786940.0,15746.1,23.435,1,1
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,229,2019,67530172.0,3.918,1239175.0,38759.35,55.429,3,3
Ukraine,230,2019,43993638.0,-2.856,1108140.0,32882.85,49.661,5,5
États-Unis d'Amérique,231,2019,329064917.0,4.003,1409630.0,41978.65,66.02,3,3
Burkina Faso,233,2019,20321378.0,19.028,997545.0,29258.399999999998,13.56,1,1
Uruguay,234,2019,3461734.0,2.133,1171285.0,31941.15,54.668,5,5
Ouzbékistan,235,2019,32981716.0,10.186,1174935.0,36635.05,42.881,4,4
Venezuela (République bolivarienne du),236,2019,28515829.0,-4.248,804460.0,18815.75,43.705,2,2
Viet Nam,237,2019,96462106.0,6.291,1072735.0,32196.649999999998,38.952,4,4
Éthiopie,238,2019,112078730.0,17.5,890235.0,25750.75,9.072,1,1
Samoa,244,2019,197097.0,3.345,1129675.0,32663.85,59.426,5,5
Yémen,249,2019,29161922.0,15.965,736935.0,19465.45,20.589,1,1
République démocratique du Congo,250,2019,86790567.0,21.626,698245.0,9457.15,12.389,1,1
Zambie,251,2019,17861030.0,19.66,827455.0,22224.85,22.713,1,1
Belgique,255,2019,11539328.0,3.455,1387000.0,36624.1,60.375,3,3
Luxembourg,256,2019,615729.0,13.486,1278960.0,39766.75,61.083,3,3
Serbie,272,2019,8772235.0,-1.644,1045725.0,31601.7,50.578,5,5
Monténégro,273,2019,627987.0,0.262,1284800.0,40876.35,60.246,3,3
Soudan,276,2019,42813238.0,15.485,942065.0,27692.550000000003,26.255,2,2
Chine,351,2019,1465634161.0,2.998,1219100.0,38365.15,39.597,5,5
